,Name,Taste,Type,Function,Effect
227,仙鹤草,苦、涩、平,肺、肝、脾,收敛、止血、截疟、解毒、杀虫,收敛、止血、截疟、解毒、杀虫
228,紫珠,苦、涩、平,肺、肝、胃、大肠,收敛、止血、清热、解毒,收敛、止血、清热、解毒
229,棕榈皮,苦、涩、平,肺、肝、大肠,收敛、止血,收敛、止血
230,血余炭,苦、平,肝、肾,止血、消瘀、利尿,止血、消瘀、利尿
231,藕节,甘、涩、平,心、肺、胃,止血、消瘀,止血、消瘀
232,刺猬皮,苦、平,胃、大肠、肾,收敛、止血、固精、缩尿、化瘀、止痛,收敛、止血、固精、缩尿、化瘀、止痛
233,艾叶,苦、辛、温,肝、脾、肾,、止血、散寒除湿止痛、安胎,、止血、散寒除湿止痛、安胎
234,炮姜,辛、苦、温,脾、肝,、止血、温中、止泻,、止血、温中、止泻
235,伏龙肝,辛、温,脾、胃,温中、降逆、止呕、收敛、燥湿,温中、降逆、止呕、收敛、燥湿
236,延胡索,辛、苦、温,肝、脾、心,活血、散瘀、行气、止痛,活血、散瘀、行气、止痛
237,郁金,辛、苦、寒,心、肝、胆,活血、止痛、行气、解郁、清心、凉血、退黄,活血、止痛、行气、解郁、清心、凉血、退黄
238,姜黄,辛、苦、温,脾、肝,破血、行气、通经、止痛,破血、行气、通经、止痛
239,乳香,辛、苦、温,心、肝、脾,活血、止痛、消肿、生肌,活血、止痛、消肿、生肌
240,没药,苦、辛、平,肝、心、脾,散瘀、止痛、消肿、生肌,散瘀、止痛、消肿、生肌
241,五灵脂,苦、甘、温,肝,活血、止痛、化瘀、止血,活血、止痛、化瘀、止血
242,石见穿,苦、辛、平,肝、胃、大肠,活血、止痛、清热、利湿、解毒、消肿,活血、止痛、清热、利湿、解毒、消肿
243,红花,辛、温,心、肝,活血、通经、散瘀、止痛,活血、通经、散瘀、止痛
244,桃仁,苦、甘、平,心、肝、大肠,活血、祛瘀、润肠、通便,活血、祛瘀、润肠、通便
245,茺蔚子,辛、甘、微寒,有小毒,活血、清肝、明目,活血、清肝、明目
246,泽兰,苦、辛、微温,肝、脾,活血、化瘀、消肿,活血、化瘀、消肿
247,牛膝,苦、酸、平,肝、肾,活血、通经、补肝肾、利尿、通淋、,活血、通经、补肝肾、利尿、通淋、
248,鸡血藤,苦、微甘、温,肝、胃,活血、,活血、
